股票代號,股票名稱,持股權重,股數,收盤價
2059,川湖,8.27%,293000,12045.0
2330,台積電,7.96%,1406000,2415.0
3017,奇鋐,6.83%,1002000,2910.0
2383,台光電,6.26%,466000,5730.0
3665,貿聯-KY,5.86%,1161000,2155.0
3037,欣興,5.85%,2497000,1000.0
2345,智邦,5.61%,1080000,2215.0
3008,大立光,4.51%,420000,4585.0
8996,高力,4.47%,1630000,1170.0
6223,旺矽,4.07%,263000,6600.0
2454,聯發科,3.82%,406000,4015.0
3231,緯創,3.47%,7662000,193.5
6584,南俊國際,2.84%,2231000,543.0
8021,尖點,2.68%,2682000,427.0
2308,台達電,2.65%,632000,1790.0
2455,全新,2.48%,2753000,384.5
1303,南亞,2.41%,5445000,189.0
3711,日月光投控,2.37%,1629000,621.0
1815,富喬,2.29%,10877000,90.0
3661,世芯-KY,2.04%,215000,4055.0
3443,創意,1.92%,160000,5130.0
3189,景碩,1.69%,840013,858.0
4958,臻鼎-KY,1.10%,1000000,471.5
6669,緯穎,1.09%,77000,6025.0
6187,萬潤,1.09%,401000,1155.0
8046,南電,0.89%,300000,1265.0
6515,穎崴,0.71%,42000,7170.0
7751,竑騰,0.56%,182000,1315.0
6139,亞翔,0.48%,250000,811.0
6805,富世達,0.47%,109000,1835.0
7734,印能科技,0.44%,56000,3350.0
2337,旺宏,0.43%,1343000,136.5
5289,宜鼎,0.35%,98000,1520.0
3260,威剛,0.34%,358000,409.5
3583,辛耘,0.25%,147000,734.0
5347,世界,0.24%,629000,159.5
3264,欣銓,0.04%,72000,216.5
