股票代號,股票名稱,持股權重,股數,收盤價
2059,川湖,8.30%,260000,13385.0
2330,台積電,7.51%,1306000,2410.0
3017,奇鋐,6.84%,1001000,2865.0
3037,欣興,6.42%,2482000,1085.0
3665,貿聯-KY,6.30%,1161000,2275.0
2383,台光電,6.30%,465000,5680.0
2345,智邦,5.21%,1074000,2035.0
3008,大立光,4.59%,343000,5610.0
8996,高力,4.24%,1630000,1090.0
6223,旺矽,3.49%,268000,5465.0
6584,南俊國際,3.13%,2231000,588.0
3231,緯創,3.03%,7245000,175.5
1815,富喬,2.91%,10877000,112.0
2455,全新,2.67%,2753000,406.0
2308,台達電,2.64%,632000,1750.0
8021,尖點,2.54%,2682000,397.0
1303,南亞,2.49%,5445000,192.0
2454,聯發科,2.40%,266000,3790.0
3443,創意,2.19%,164000,5600.0
3661,世芯-KY,1.90%,215000,3700.0
3189,景碩,1.63%,844013,811.0
6669,緯穎,1.15%,77000,6255.0
4958,臻鼎-KY,1.05%,1000000,441.0
3711,日月光投控,1.00%,716000,587.0
8046,南電,0.81%,300000,1135.0
6213,聯茂,0.46%,373000,513.0
6139,亞翔,0.45%,250000,762.0
3081,聯亞,0.44%,63000,2920.0
2357,華碩,0.43%,196000,921.0
3653,健策,0.42%,33000,5395.0
2376,技嘉,0.41%,508000,339.5
2301,光寶科,0.41%,659000,261.0
8150,南茂,0.40%,1957000,86.7
6274,台燿,0.40%,113000,1495.0
5274,信驊,0.40%,11000,15350.0
3026,禾伸堂,0.40%,261000,639.0
2404,漢唐,0.39%,155000,1060.0
6187,萬潤,0.38%,134000,1195.0
2360,致茂,0.38%,76000,2100.0
5289,宜鼎,0.36%,98000,1560.0
5347,世界,0.23%,629000,151.5
