股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,7.74%,1761000,2275.0
2383,台光電,4.93%,537000,4755.0
6669,緯穎,4.36%,465000,4860.0
8996,高力,4.06%,1689000,1245.0
3037,欣興,4.05%,2302000,911.0
3665,貿聯-KY,3.79%,667000,2940.0
3105,穩懋,3.47%,3433000,524.0
2345,智邦,3.46%,716000,2505.0
3017,奇鋐,3.35%,601000,2885.0
6442,光聖,3.16%,785000,2085.0
6515,穎崴,3.12%,151000,10700.0
6510,精測,3.08%,422000,3780.0
6223,旺矽,2.88%,289000,5165.0
8299,群聯,2.76%,711000,2010.0
3533,嘉澤,2.36%,468000,2610.0
3443,創意,2.35%,260000,4685.0
3661,世芯-KY,2.24%,273000,4250.0
3163,波若威,2.24%,923000,1255.0
2360,致茂,2.17%,487000,2310.0
8046,南電,2.11%,1108000,986.0
2059,川湖,2.02%,258000,4055.0
3653,健策,2.02%,197000,5300.0
7769,鴻勁,2.02%,194000,5380.0
3081,聯亞,2.01%,380000,2745.0
7751,竑騰,1.99%,388000,2660.0
2368,金像電,1.86%,669000,1440.0
6584,南俊國際,1.74%,1337000,672.0
2308,台達電,1.53%,357000,2220.0
5274,信驊,1.52%,45000,17545.0
2408,南亞科,1.50%,3280000,237.0
4749,新應材,1.39%,701000,1030.0
6274,台燿,1.36%,636000,1110.0
2455,全新,1.32%,1927000,355.0
6531,愛普*,1.25%,703000,924.0
2454,聯發科,1.00%,180000,2870.0
3131,弘塑,0.91%,154000,3065.0
4991,環宇-KY,0.90%,692000,677.0
6271,同欣電,0.89%,2589000,178.0
3189,景碩,0.50%,486013,531.0
3036,文曄,0.48%,1177000,210.5
2337,旺宏,0.38%,1271000,154.5
5289,宜鼎,0.36%,142000,1295.0
3324,雙鴻,0.35%,151000,1190.0
3260,威剛,0.33%,393000,441.0
3711,日月光投控,0.32%,320000,525.0
3491,昇達科,0.32%,97000,1705.0
2344,華邦電,0.16%,893000,95.4
3583,辛耘,0.05%,33000,793.0
