股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,6.11%,1134000,2025.0
3105,穩懋,4.77%,3027000,592.0
8996,高力,4.18%,1310000,1200.0
2383,台光電,3.85%,376000,3850.0
6515,穎崴,3.70%,129000,10795.0
3037,欣興,3.42%,1899000,678.0
6442,光聖,3.42%,542000,2370.0
6223,旺矽,3.39%,248000,5135.0
2345,智邦,3.30%,618000,2005.0
6510,精測,2.95%,291000,3810.0
3665,貿聯-KY,2.92%,447000,2460.0
3017,奇鋐,2.85%,431000,2490.0
6669,緯穎,2.79%,264000,3980.0
3533,嘉澤,2.79%,399000,2625.0
3163,波若威,2.71%,786000,1295.0
8299,群聯,2.67%,615000,1635.0
2360,致茂,2.26%,414000,2050.0
2059,川湖,2.20%,221000,3745.0
3443,創意,2.05%,215000,3580.0
8046,南電,1.99%,938000,796.0
7769,鴻勁,1.95%,165000,4445.0
7751,竑騰,1.71%,331000,1945.0
3529,力旺,1.62%,139000,4385.0
4749,新應材,1.57%,599000,984.0
2408,南亞科,1.56%,2829000,207.0
5274,信驊,1.50%,39000,14425.0
3081,聯亞,1.48%,195000,2860.0
3653,健策,1.47%,110000,5020.0
6584,南俊國際,1.45%,743000,733.0
8358,金居,1.42%,1326000,404.0
6274,台燿,1.37%,543000,950.0
6805,富世達,1.29%,255000,1895.0
4991,環宇-KY,1.13%,587000,724.0
3131,弘塑,1.13%,132000,3210.0
6531,愛普*,1.10%,604000,682.0
5347,世界,0.89%,2402000,139.0
6271,同欣電,0.89%,1800000,185.5
2368,金像電,0.85%,264000,1210.0
2308,台達電,0.79%,156000,1900.0
2486,一詮,0.68%,1298000,198.0
3661,世芯-KY,0.67%,69000,3625.0
8021,尖點,0.65%,584920,418.0
3036,文曄,0.58%,1000000,217.0
3189,景碩,0.55%,484013,430.5
3491,昇達科,0.37%,83000,1695.0
3711,日月光投控,0.34%,275000,461.5
3260,威剛,0.28%,293000,358.0
5289,宜鼎,0.28%,102000,1020.0
3324,雙鴻,0.28%,100000,1040.0
2337,旺宏,0.25%,771000,120.5
2344,華邦電,0.18%,771000,85.7
