股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,7.60%,556000,1900.0
8299,群聯,5.10%,394000,1800.0
2345,智邦,4.98%,488000,1420.0
2308,台達電,4.84%,504000,1335.0
3017,奇鋐,4.33%,331000,1820.0
7769,鴻勁,3.88%,127000,4245.0
3037,欣興,3.86%,1193000,450.0
2383,台光電,3.73%,219000,2365.0
6223,旺矽,3.58%,175000,2845.0
6515,穎崴,3.43%,100000,4775.0
8996,高力,3.35%,599000,777.0
2059,川湖,3.20%,134000,3320.0
2360,致茂,3.16%,313000,1405.0
3163,波若威,3.16%,612000,718.0
2408,南亞科,3.11%,1679000,257.5
3665,貿聯-KY,2.69%,217000,1725.0
5347,世界,2.15%,2501000,119.5
2449,京元電子,1.98%,932000,295.0
2454,聯發科,1.93%,151000,1775.0
3533,嘉澤,1.87%,164000,1585.0
5274,信驊,1.78%,26000,9520.0
6442,光聖,1.77%,124000,1985.0
4749,新應材,1.67%,240000,966.0
3324,雙鴻,1.59%,226000,978.0
6669,緯穎,1.52%,50000,4220.0
7751,竑騰,1.45%,166000,1215.0
6781,AES-KY,1.42%,191000,1035.0
1519,華城,1.40%,204000,951.0
8358,金居,1.30%,713000,253.5
3529,力旺,1.24%,71000,2425.0
2486,一詮,1.12%,1150000,135.5
8210,勤誠,1.10%,165000,930.0
5289,宜鼎,0.88%,157000,778.0
3661,世芯-KY,0.87%,37000,3270.0
6274,台燿,0.87%,238000,506.0
8021,尖點,0.85%,509920,231.0
6531,愛普*,0.78%,245000,440.5
6805,富世達,0.68%,55000,1715.0
8046,南電,0.53%,160000,461.0
2317,鴻海,0.52%,325000,224.0
3189,景碩,0.46%,213000,297.5
6584,南俊國際,0.39%,136000,401.0
3443,創意,0.39%,23000,2355.0
2368,金像電,0.32%,60000,736.0
3653,健策,0.32%,14000,3140.0
2344,華邦電,0.31%,379000,112.0
5439,高技,0.25%,126000,274.5
