股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,6.76%,556000,1870.0
2383,台光電,5.30%,302000,2700.0
8299,群聯,4.99%,395000,1945.0
2345,智邦,4.66%,493000,1455.0
6515,穎崴,4.35%,101000,6620.0
3037,欣興,4.26%,1206000,543.0
2408,南亞科,4.20%,2380000,271.5
3017,奇鋐,4.15%,335000,1905.0
6223,旺矽,4.12%,177000,3580.0
8996,高力,3.62%,606000,918.0
7769,鴻勁,3.52%,128000,4230.0
3163,波若威,3.50%,612000,881.0
2360,致茂,3.02%,316000,1470.0
2059,川湖,2.94%,135000,3350.0
8046,南電,2.86%,810000,544.0
3533,嘉澤,2.73%,231000,1820.0
2308,台達電,2.56%,273000,1440.0
3665,貿聯-KY,2.47%,218000,1740.0
7751,竑騰,2.37%,256000,1425.0
5347,世界,1.95%,2529000,118.5
5274,信驊,1.91%,26000,11320.0
4749,新應材,1.45%,243000,915.0
6442,光聖,1.36%,124000,1685.0
6669,緯穎,1.31%,51000,3965.0
6781,AES-KY,1.27%,193000,1010.0
1519,華城,1.23%,206000,921.0
8358,金居,1.23%,721000,263.0
2486,一詮,1.22%,1153000,162.5
5289,宜鼎,1.19%,157000,1165.0
2449,京元電子,1.02%,532000,294.0
8210,勤誠,0.96%,167000,881.0
6531,愛普*,0.92%,245000,580.0
8021,尖點,0.79%,515920,237.0
3661,世芯-KY,0.77%,37000,3190.0
6805,富世達,0.64%,56000,1745.0
6584,南俊國際,0.61%,236000,396.0
3189,景碩,0.56%,252013,341.5
2317,鴻海,0.45%,329000,212.0
3529,力旺,0.38%,21000,2810.0
2368,金像電,0.36%,61000,917.0
6274,台燿,0.36%,110000,505.0
3324,雙鴻,0.34%,50000,1050.0
3653,健策,0.34%,14000,3725.0
5439,高技,0.33%,186000,272.5
2344,華邦電,0.31%,383000,123.5
