股票代號,股票名稱,持股權重,股數,收盤價
3017,奇鋐,8.46%,1001000,3570.0
2059,川湖,6.73%,205000,13860.0
2330,台積電,6.37%,1116000,2410.0
2383,台光電,5.96%,465000,5415.0
3665,貿聯-KY,5.90%,1161000,2145.0
2345,智邦,5.34%,1074000,2100.0
3037,欣興,5.30%,2482000,902.0
3008,大立光,5.14%,293000,7400.0
8996,高力,5.02%,1630000,1300.0
2455,全新,3.44%,2753000,528.0
3231,緯創,3.40%,7245000,198.0
6584,南俊國際,3.35%,2231000,634.0
6223,旺矽,3.27%,268000,5155.0
1815,富喬,3.05%,10877000,118.5
1303,南亞,2.91%,5445000,225.5
8021,尖點,2.67%,2682000,420.0
6669,緯穎,2.61%,429675,2565.0
8046,南電,2.42%,968000,1055.0
3443,創意,2.26%,164000,5810.0
3661,世芯-KY,2.15%,215000,4220.0
2308,台達電,1.65%,382000,1825.0
3189,景碩,1.64%,844013,819.0
2454,聯發科,1.52%,145000,4415.0
4958,臻鼎-KY,1.10%,1000000,463.0
2301,光寶科,0.48%,659000,308.0
2357,華碩,0.48%,196000,1025.0
3081,聯亞,0.47%,63000,3170.0
3653,健策,0.46%,33000,5875.0
6213,聯茂,0.46%,373000,517.0
5274,信驊,0.46%,11000,17470.0
6139,亞翔,0.44%,250000,736.0
2376,技嘉,0.43%,508000,361.0
3026,禾伸堂,0.43%,261000,701.0
8150,南茂,0.42%,1957000,90.1
6187,萬潤,0.41%,134000,1305.0
2404,漢唐,0.39%,155000,1070.0
2360,致茂,0.37%,76000,2030.0
6274,台燿,0.37%,113000,1365.0
5289,宜鼎,0.32%,99952,1360.0
5347,世界,0.22%,629000,150.0
