股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,7.72%,556000,1800.0
8299,群聯,5.02%,327000,1990.0
2308,台達電,4.72%,504000,1215.0
2345,智邦,4.46%,488000,1185.0
3665,貿聯-KY,4.21%,387000,1410.0
3017,奇鋐,4.17%,331000,1635.0
6223,旺矽,3.84%,175000,2845.0
6515,穎崴,3.48%,101000,4465.0
2059,川湖,3.21%,134000,3105.0
2383,台光電,3.20%,224000,1855.0
7769,鴻勁,2.73%,92000,3855.0
8996,高力,2.60%,412000,817.0
3037,欣興,2.55%,858000,385.0
2360,致茂,2.51%,313000,1040.0
5347,世界,2.20%,2101000,135.5
3163,波若威,2.16%,612000,457.5
2449,京元電子,2.11%,932000,293.5
2408,南亞科,2.07%,968000,277.5
3260,威剛,1.97%,819000,312.5
5274,信驊,1.96%,26000,9790.0
6415,矽力*-KY,1.92%,840000,296.0
6442,光聖,1.75%,124000,1830.0
6781,AES-KY,1.71%,191000,1160.0
3661,世芯-KY,1.64%,64000,3320.0
4749,新應材,1.56%,240000,842.0
1519,華城,1.49%,204000,947.0
6669,緯穎,1.44%,50000,3725.0
8358,金居,1.36%,713000,247.5
2327,國巨*,1.22%,595000,266.5
8210,勤誠,1.22%,165000,955.0
2454,聯發科,1.18%,85000,1795.0
2486,一詮,1.14%,1150000,129.0
5289,宜鼎,0.95%,157000,787.0
6274,台燿,0.93%,238000,505.0
3529,力旺,0.93%,71000,1690.0
2344,華邦電,0.88%,1079000,105.5
2451,創見,0.82%,463000,231.0
3231,緯創,0.82%,827000,128.5
6531,愛普*,0.81%,245000,430.0
8021,尖點,0.80%,509920,203.0
3324,雙鴻,0.71%,91000,1005.0
6805,富世達,0.65%,55000,1535.0
2317,鴻海,0.54%,325000,216.5
8046,南電,0.49%,160000,394.5
3443,創意,0.48%,23000,2705.0
3189,景碩,0.40%,213000,246.0
2368,金像電,0.35%,60000,755.0
3653,健策,0.34%,14000,3140.0
6584,南俊國際,0.32%,136000,309.0
5439,高技,0.29%,126000,300.0
