股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,7.87%,1761000,2215.0
2383,台光電,4.74%,537000,4375.0
6669,緯穎,4.50%,465000,4800.0
8996,高力,4.00%,1689000,1175.0
3037,欣興,3.84%,2310000,825.0
3665,貿聯-KY,3.54%,667000,2630.0
3105,穩懋,3.46%,3433000,499.5
3017,奇鋐,3.37%,601000,2780.0
2345,智邦,3.31%,716000,2295.0
6510,精測,3.15%,422000,3705.0
6515,穎崴,3.09%,151000,10135.0
6442,光聖,3.02%,785000,1905.0
6223,旺矽,2.84%,289000,4880.0
8299,群聯,2.83%,711000,1970.0
3533,嘉澤,2.52%,468000,2670.0
3443,創意,2.20%,260000,4190.0
7751,竑騰,2.12%,388000,2715.0
8046,南電,2.08%,1108000,932.0
2059,川湖,2.07%,258000,3980.0
2360,致茂,2.03%,487000,2065.0
7769,鴻勁,2.00%,194000,5100.0
3163,波若威,1.99%,924000,1070.0
3653,健策,1.97%,197000,4950.0
3081,聯亞,1.92%,380000,2505.0
6584,南俊國際,1.90%,1337000,706.0
2368,金像電,1.88%,669000,1390.0
2408,南亞科,1.57%,3280000,237.5
2308,台達電,1.53%,357000,2125.0
5274,信驊,1.46%,45000,16095.0
4749,新應材,1.40%,701000,992.0
3661,世芯-KY,1.40%,173000,4000.0
6805,富世達,1.25%,298000,2085.0
6274,台燿,1.24%,636000,966.0
6531,愛普*,1.13%,703000,800.0
2454,聯發科,0.95%,180000,2615.0
6271,同欣電,0.92%,2589000,175.5
3131,弘塑,0.89%,154000,2870.0
4991,環宇-KY,0.88%,692000,627.0
8021,尖點,0.53%,661000,399.5
3189,景碩,0.50%,486013,508.0
3036,文曄,0.49%,1177000,207.0
2337,旺宏,0.41%,1271000,159.5
3260,威剛,0.38%,393000,484.0
5289,宜鼎,0.37%,142000,1305.0
3324,雙鴻,0.35%,151000,1145.0
3711,日月光投控,0.32%,320000,495.5
3491,昇達科,0.32%,97000,1620.0
2455,全新,0.27%,427000,318.0
2486,一詮,0.26%,567000,230.5
2344,華邦電,0.17%,893000,95.5
3529,力旺,0.03%,4000,3985.0
