股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,5.70%,1311000,2080.0
2383,台光電,4.61%,538000,4100.0
8996,高力,4.27%,1689000,1210.0
6669,緯穎,4.13%,465000,4250.0
3105,穩懋,4.02%,3433000,560.0
3665,貿聯-KY,3.84%,667000,2755.0
3037,欣興,3.52%,2310000,728.0
6510,精測,3.40%,422000,3850.0
6515,穎崴,3.39%,151000,10730.0
3017,奇鋐,3.37%,601000,2680.0
6442,光聖,3.32%,785000,2020.0
2345,智邦,3.12%,716000,2080.0
6223,旺矽,2.90%,289000,4790.0
8299,群聯,2.54%,711000,1705.0
3533,嘉澤,2.41%,468000,2460.0
3081,聯亞,2.40%,380000,3020.0
3163,波若威,2.24%,924000,1160.0
3653,健策,2.19%,197000,5310.0
3443,創意,2.13%,260000,3910.0
6584,南俊國際,2.06%,1337000,738.0
2360,致茂,1.98%,487000,1940.0
7769,鴻勁,1.95%,194000,4810.0
2059,川湖,1.93%,258000,3585.0
8046,南電,1.84%,1108000,795.0
7751,竑騰,1.78%,388000,2195.0
2368,金像電,1.77%,669000,1265.0
2308,台達電,1.48%,357000,1980.0
5274,信驊,1.47%,45000,15670.0
4749,新應材,1.46%,701000,997.0
3661,世芯-KY,1.44%,173000,3980.0
2408,南亞科,1.43%,3280000,208.0
3529,力旺,1.29%,155000,3980.0
6274,台燿,1.26%,636000,950.0
8358,金居,1.20%,1548000,370.0
6805,富世達,1.19%,298000,1910.0
6531,愛普*,1.15%,703000,785.0
3131,弘塑,1.01%,154000,3150.0
6271,同欣電,0.96%,2589000,176.5
4991,環宇-KY,0.92%,692000,635.0
8021,尖點,0.68%,691920,471.5
3036,文曄,0.51%,1177000,206.0
3189,景碩,0.49%,486013,479.0
2454,聯發科,0.37%,80000,2215.0
3324,雙鴻,0.35%,151000,1105.0
2337,旺宏,0.33%,1271000,126.0
5289,宜鼎,0.33%,142000,1105.0
3260,威剛,0.33%,393000,397.5
3491,昇達科,0.31%,97000,1550.0
3711,日月光投控,0.31%,320000,464.5
2486,一詮,0.26%,567000,222.0
2344,華邦電,0.16%,893000,87.8
