股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,5.71%,1305000,2050.0
3105,穩懋,4.40%,3433000,600.0
6669,緯穎,4.31%,464000,4350.0
2383,台光電,3.80%,438000,4065.0
8996,高力,3.80%,1489000,1195.0
6510,精測,3.78%,421000,4200.0
6442,光聖,3.74%,781000,2240.0
6515,穎崴,3.44%,150000,10730.0
3037,欣興,3.38%,2210000,716.0
2345,智邦,3.35%,713000,2200.0
3665,貿聯-KY,3.09%,567000,2555.0
6223,旺矽,2.97%,288000,4825.0
3017,奇鋐,2.88%,501000,2695.0
8299,群聯,2.68%,708000,1775.0
3533,嘉澤,2.64%,466000,2650.0
3163,波若威,2.32%,919000,1180.0
6584,南俊國際,2.29%,1333000,805.0
3653,健策,2.22%,192000,5410.0
2059,川湖,2.16%,257000,3935.0
2360,致茂,2.10%,485000,2030.0
3443,創意,2.03%,259000,3675.0
7769,鴻勁,1.96%,193000,4745.0
8046,南電,1.89%,1103000,803.0
7751,竑騰,1.71%,386000,2075.0
5274,信驊,1.55%,45000,16085.0
4749,新應材,1.54%,698000,1035.0
2308,台達電,1.53%,356000,2015.0
2408,南亞科,1.53%,3265000,219.0
3661,世芯-KY,1.50%,173000,4065.0
3081,聯亞,1.47%,229000,3005.0
3529,力旺,1.33%,154000,4055.0
6274,台燿,1.32%,633000,973.0
8358,金居,1.30%,1548000,393.5
6805,富世達,1.26%,297000,1985.0
6531,愛普*,1.18%,700000,792.0
3131,弘塑,1.11%,153000,3400.0
4991,環宇-KY,1.02%,688000,693.0
6271,同欣電,0.83%,2089000,185.0
2368,金像電,0.82%,308000,1250.0
8021,尖點,0.66%,688920,445.5
3036,文曄,0.53%,1171000,213.5
3189,景碩,0.51%,484013,491.5
2454,聯發科,0.39%,80000,2295.0
3324,雙鴻,0.37%,150000,1155.0
3491,昇達科,0.36%,97000,1720.0
3711,日月光投控,0.32%,319000,465.0
2486,一詮,0.27%,567000,219.0
3260,威剛,0.26%,293000,421.5
5289,宜鼎,0.25%,102000,1165.0
2337,旺宏,0.22%,771000,134.5
2344,華邦電,0.17%,889000,90.6
