股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,7.46%,1761000,2255.0
6669,緯穎,5.06%,465000,5790.0
2383,台光電,4.93%,536000,4900.0
3661,世芯-KY,3.92%,393000,5310.0
3037,欣興,3.78%,2302000,875.0
3443,創意,3.77%,360000,5570.0
2059,川湖,3.66%,358000,5445.0
8299,群聯,3.64%,711000,2725.0
3665,貿聯-KY,3.48%,667000,2775.0
2345,智邦,3.40%,716000,2525.0
8996,高力,3.35%,1689000,1055.0
3105,穩懋,3.30%,3433000,512.0
6510,精測,3.06%,422000,3860.0
6223,旺矽,2.98%,289000,5480.0
6515,穎崴,2.82%,151000,9950.0
8046,南電,2.80%,1658000,900.0
7769,鴻勁,2.50%,194000,6870.0
3533,嘉澤,2.46%,468000,2800.0
3017,奇鋐,2.37%,501000,2520.0
2360,致茂,2.23%,487000,2440.0
3081,聯亞,2.18%,380000,3055.0
2408,南亞科,1.98%,3280000,321.0
6442,光聖,1.91%,535000,1905.0
3163,波若威,1.85%,923000,1065.0
2368,金像電,1.75%,669000,1390.0
6274,台燿,1.73%,636000,1450.0
6584,南俊國際,1.71%,1337000,681.0
5274,信驊,1.52%,45000,18005.0
2308,台達電,1.47%,357000,2195.0
3653,健策,1.45%,197000,3920.0
6531,愛普*,1.39%,703000,1055.0
2455,全新,1.36%,1927000,375.0
7751,竑騰,1.33%,387000,1835.0
2454,聯發科,1.25%,180000,3700.0
4991,環宇-KY,0.96%,692000,740.0
3036,文曄,0.61%,1177000,275.5
5289,宜鼎,0.48%,142000,1795.0
3189,景碩,0.45%,486013,494.0
2337,旺宏,0.37%,1271000,153.0
3711,日月光投控,0.33%,320000,555.0
3260,威剛,0.33%,393000,445.5
3491,昇達科,0.32%,97000,1765.0
3324,雙鴻,0.30%,151000,1060.0
2344,華邦電,0.20%,893000,121.5
3583,辛耘,0.06%,33000,952.0
