股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,6.98%,556000,1845.0
8299,群聯,5.31%,394000,1980.0
2383,台光電,5.26%,299000,2585.0
2345,智邦,4.62%,488000,1390.0
3037,欣興,4.46%,1193000,549.0
6223,旺矽,4.25%,175000,3565.0
2408,南亞科,4.23%,2379000,261.5
6515,穎崴,4.19%,100000,6160.0
3017,奇鋐,4.12%,331000,1830.0
3163,波若威,4.00%,612000,960.0
8996,高力,3.77%,599000,925.0
7769,鴻勁,3.52%,127000,4075.0
2360,致茂,3.09%,313000,1450.0
2059,川湖,3.03%,134000,3320.0
3533,嘉澤,2.62%,228000,1685.0
2308,台達電,2.50%,270000,1360.0
3665,貿聯-KY,2.43%,217000,1645.0
8046,南電,2.16%,560000,566.0
5347,世界,1.97%,2501000,116.0
2449,京元電子,1.83%,932000,288.0
5274,信驊,1.82%,26000,10295.0
7751,竑騰,1.58%,166000,1400.0
4749,新應材,1.52%,240000,933.0
6442,光聖,1.46%,124000,1735.0
6669,緯穎,1.36%,50000,4005.0
6781,AES-KY,1.31%,191000,1005.0
1519,華城,1.26%,204000,909.0
8358,金居,1.21%,713000,250.0
2486,一詮,1.16%,1150000,148.0
5289,宜鼎,1.13%,157000,1060.0
8210,勤誠,1.00%,165000,888.0
6531,愛普*,0.88%,245000,528.0
8021,尖點,0.82%,509920,236.0
3661,世芯-KY,0.79%,37000,3125.0
6805,富世達,0.66%,55000,1750.0
3189,景碩,0.54%,237013,337.0
2317,鴻海,0.48%,325000,216.5
2368,金像電,0.37%,60000,909.0
3529,力旺,0.37%,21000,2555.0
6584,南俊國際,0.36%,136000,391.0
3653,健策,0.32%,14000,3390.0
2344,華邦電,0.30%,379000,117.0
5439,高技,0.24%,126000,274.0
