股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,8.61%,1706000,2365.0
2383,台光電,5.87%,563000,4885.0
2345,智邦,5.19%,977000,2490.0
3037,欣興,4.18%,2097000,933.0
6223,旺矽,4.01%,326000,5765.0
8996,高力,3.91%,1630000,1125.0
6669,緯穎,3.85%,319000,5660.0
2454,聯發科,3.73%,406000,4300.0
3017,奇鋐,3.52%,634000,2600.0
2059,川湖,3.51%,293000,5620.0
3665,貿聯-KY,3.06%,652000,2200.0
6584,南俊國際,3.06%,2204000,650.0
3443,創意,2.93%,311000,4410.0
2368,金像電,2.65%,945000,1315.0
6515,穎崴,2.61%,145000,8425.0
2327,國巨*,2.57%,1566000,769.0
3661,世芯-KY,2.40%,262000,4285.0
2455,全新,2.34%,2753000,399.0
8299,群聯,2.33%,445000,2450.0
6187,萬潤,2.08%,870000,1120.0
3105,穩懋,2.01%,1949000,483.5
3711,日月光投控,2.01%,1629000,577.0
2308,台達電,1.69%,344000,2300.0
3081,聯亞,1.55%,273000,2655.0
6274,台燿,1.52%,441000,1610.0
7769,鴻勁,1.41%,91000,7275.0
8046,南電,1.29%,718000,845.0
7751,竑騰,1.24%,375000,1545.0
2360,致茂,1.09%,200000,2565.0
5274,信驊,1.08%,29000,17505.0
3583,辛耘,1.05%,566000,868.0
3008,大立光,0.98%,125000,3680.0
6510,精測,0.91%,129000,3300.0
3653,健策,0.79%,102000,3620.0
3189,景碩,0.67%,440013,712.0
4991,環宇-KY,0.55%,394000,654.0
8021,尖點,0.49%,501000,458.0
6805,富世達,0.45%,109000,1950.0
6139,亞翔,0.43%,250000,808.0
2337,旺宏,0.43%,1343000,150.0
5289,宜鼎,0.37%,98000,1755.0
7734,印能科技,0.37%,56000,3055.0
3260,威剛,0.32%,358000,421.5
3491,昇達科,0.00%,1000,1935.0
