股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,7.68%,556000,1775.0
8299,群聯,6.06%,327000,2380.0
2308,台達電,4.79%,504000,1220.0
2345,智邦,4.23%,488000,1115.0
3665,貿聯-KY,3.92%,387000,1300.0
3017,奇鋐,3.76%,331000,1460.0
6223,旺矽,3.43%,175000,2515.0
2059,川湖,3.27%,134000,3140.0
6515,穎崴,3.07%,101000,3905.0
2383,台光電,3.04%,224000,1745.0
7769,鴻勁,2.68%,92000,3750.0
3037,欣興,2.53%,858000,378.5
2408,南亞科,2.46%,968000,326.5
8996,高力,2.40%,412000,747.0
2360,致茂,2.39%,313000,980.0
5347,世界,2.35%,2101000,143.5
3260,威剛,2.32%,819000,363.5
3163,波若威,2.17%,612000,456.0
2449,京元電子,2.15%,932000,296.0
6415,矽力*-KY,1.83%,840000,280.5
3131,弘塑,1.83%,141000,1670.0
5274,信驊,1.80%,26000,8880.0
6442,光聖,1.72%,124000,1785.0
6781,AES-KY,1.68%,191000,1130.0
4749,新應材,1.61%,240000,861.0
3661,世芯-KY,1.56%,64000,3125.0
1519,華城,1.54%,204000,970.0
8358,金居,1.45%,713000,262.0
6669,緯穎,1.39%,50000,3575.0
2327,國巨*,1.28%,595000,277.5
2454,聯發科,1.16%,85000,1760.0
8210,勤誠,1.16%,165000,905.0
2486,一詮,1.15%,1150000,128.0
2344,華邦電,1.08%,1079000,128.5
3529,力旺,1.01%,71000,1830.0
5289,宜鼎,0.97%,157000,794.0
2451,創見,0.96%,463000,266.5
6274,台燿,0.93%,238000,503.0
3231,緯創,0.84%,827000,130.5
6531,愛普*,0.82%,245000,429.5
8021,尖點,0.81%,509920,205.0
3324,雙鴻,0.64%,91000,910.0
6805,富世達,0.61%,55000,1425.0
2317,鴻海,0.56%,325000,220.5
8046,南電,0.48%,160000,388.5
3443,創意,0.47%,23000,2620.0
3189,景碩,0.42%,213000,252.0
2368,金像電,0.33%,60000,701.0
6584,南俊國際,0.31%,136000,294.0
3653,健策,0.31%,14000,2840.0
5439,高技,0.29%,126000,298.0
5536,聖暉*,0.03%,7000,630.0
