股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,5.91%,677000,1780.0
2383,台光電,4.41%,323000,2785.0
2345,智邦,4.26%,531000,1635.0
6515,穎崴,4.18%,111000,7675.0
3017,奇鋐,3.87%,370000,2135.0
3533,嘉澤,3.73%,343000,2220.0
6223,旺矽,3.59%,196000,3735.0
8299,群聯,3.42%,434000,1605.0
2059,川湖,3.24%,191000,3460.0
6442,光聖,3.21%,310000,2110.0
8996,高力,3.14%,715000,895.0
3037,欣興,3.09%,1277000,493.5
2360,致茂,2.95%,370000,1625.0
3163,波若威,2.90%,676000,875.0
2408,南亞科,2.63%,2432000,220.5
7769,鴻勁,2.58%,142000,3710.0
8046,南電,2.44%,858000,580.0
6510,精測,2.31%,142000,3320.0
4749,新應材,2.12%,526000,820.0
7751,竑騰,2.10%,285000,1500.0
2308,台達電,2.04%,280000,1485.0
8358,金居,1.98%,1728000,233.5
6805,富世達,1.97%,219000,1830.0
3653,健策,1.91%,100000,3890.0
3105,穩懋,1.77%,923000,390.5
6584,南俊國際,1.67%,566000,602.0
5274,信驊,1.60%,29000,11220.0
5347,世界,1.31%,2277000,117.0
6669,緯穎,1.09%,66000,3370.0
4991,環宇-KY,1.08%,511000,430.0
2368,金像電,1.00%,227000,898.0
6781,AES-KY,0.99%,198000,1015.0
3665,貿聯-KY,0.92%,100000,1880.0
2486,一詮,0.88%,1230000,146.5
3529,力旺,0.88%,67000,2685.0
6531,愛普*,0.87%,367000,485.0
1519,華城,0.86%,211000,834.0
3661,世芯-KY,0.80%,59000,2750.0
3189,景碩,0.78%,457013,346.5
8210,勤誠,0.76%,173000,895.0
2449,京元電子,0.75%,564000,272.0
3443,創意,0.75%,66000,2310.0
8021,尖點,0.74%,569920,265.0
6274,台燿,0.68%,230000,602.0
5289,宜鼎,0.42%,90000,941.0
2317,鴻海,0.33%,349000,194.0
2344,華邦電,0.30%,663000,93.0
3324,雙鴻,0.30%,64000,956.0
5439,高技,0.29%,205000,292.5
