股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,10.00%,11960000,2510.0
2383,台光電,8.71%,4486000,5825.0
2327,國巨*,8.48%,23892000,1065.0
2454,聯發科,7.23%,4861000,4465.0
2345,智邦,5.48%,6334000,2595.0
6223,旺矽,4.88%,2279000,6425.0
2308,台達電,4.46%,6222000,2150.0
3037,欣興,4.46%,13307000,1005.0
3017,奇鋐,4.18%,5191000,2420.0
2303,聯電,4.12%,77390000,160.0
6669,緯穎,4.03%,2492000,4855.0
3711,日月光投控,4.03%,17948000,674.0
2368,金像電,3.86%,8315000,1395.0
3665,貿聯-KY,3.20%,4833848,1990.0
6274,台燿,3.20%,5058000,1900.0
3653,健策,2.90%,2267000,3840.0
5274,信驊,2.71%,422000,19275.0
8046,南電,2.57%,8917000,864.0
6805,富世達,1.10%,1811000,1820.0
6515,穎崴,1.10%,348000,9460.0
6510,精測,1.09%,930000,3525.0
8210,勤誠,1.03%,2267000,1370.0
2449,京元電子,0.73%,6484000,339.0
3533,嘉澤,0.66%,852000,2315.0
2317,鴻海,0.65%,7307000,268.5
6147,頎邦,0.58%,6275000,277.0
6187,萬潤,0.56%,1334000,1260.0
8150,南茂,0.44%,11635000,114.0
5439,高技,0.39%,3528000,336.0
4966,譜瑞-KY,0.38%,1642000,695.0
6278,台表科,0.30%,4334000,206.0
6271,同欣電,0.26%,2966000,266.5
1590,亞德客-KY,0.25%,530000,1395.0
8358,金居,0.23%,980000,691.0
8996,高力,0.18%,354000,1555.0
6191,精成科,0.14%,3988000,103.5
6488,環球晶,0.13%,350000,1115.0
3264,欣銓,0.12%,1508000,242.0
3376,新日興,0.12%,1741000,209.0
2002,中鋼,0.03%,5163000,19.5
3661,世芯-KY,0.00%,1000,4325.0
1815,富喬,0.00%,107000,106.5
3443,創意,0.00%,1000,4755.0
2439,美律,0.00%,18000,92.8
3008,大立光,0.00%,1000,5185.0
4958,臻鼎-KY,0.00%,1000,622.0
2382,廣達,0.00%,1000,380.0
2313,華通,0.00%,1000,259.5
5347,世界,0.00%,1000,191.5
2481,強茂,0.00%,5000,176.0
