股票代號,股票名稱,持股權重,股數,收盤價,收盤價
2330,台積電,9.63%,1600000,1305.0,1305.0
2345,智邦,6.41%,1330000,1045.0,1045.0
3665,貿聯-KY,5.74%,1207848,1030.0,1030.0
2383,台光電,5.23%,925000,1225.0,1225.0
3017,奇鋐,5.08%,1123000,981.0,981.0
6669,緯穎,4.62%,302000,3315.0,3315.0
6223,旺矽,4.22%,533000,1715.0,1715.0
2368,金像電,4.07%,2028000,435.5,435.5
2449,京元電子,3.98%,5259000,164.0,164.0
2317,鴻海,3.88%,3896000,216.0,216.0
2308,台達電,3.60%,914000,854.0,854.0
3653,健策,3.47%,312000,2410.0,2410.0
3661,世芯-KY,3.24%,203000,3465.0,3465.0
2357,華碩,3.22%,1042000,671.0,671.0
6274,台燿,2.79%,1921000,314.5,314.5
2059,川湖,2.72%,179000,3290.0,3290.0
6805,富世達,2.37%,515000,996.0,996.0
8210,勤誠,2.27%,832000,592.0,592.0
3533,嘉澤,1.71%,240000,1545.0,1545.0
3376,新日興,1.48%,1237000,260.0,260.0
4966,譜瑞-KY,1.32%,386000,741.0,741.0
2884,玉山金,1.24%,8091010,33.35,33.35
3406,玉晶光,1.15%,585000,428.0,428.0
3583,辛耘,1.14%,626000,395.0,395.0
1303,南亞,1.11%,6080000,39.45,39.45
2354,鴻準,1.07%,3285000,70.3,70.3
6472,保瑞,0.98%,307000,690.0,690.0
3529,力旺,0.85%,91000,2015.0,2015.0
3231,緯創,0.84%,1299000,140.5,140.5
6191,精成科,0.84%,1512000,120.0,120.0
1560,中砂,0.79%,511000,335.5,335.5
3037,欣興,0.75%,1069000,151.5,151.5
3211,順達,0.71%,410000,373.0,373.0
5347,世界,0.70%,1498000,102.0,102.0
3711,日月光投控,0.65%,862000,164.0,164.0
5274,信驊,0.65%,28000,5050.0,5050.0
2454,聯發科,0.63%,104000,1315.0,1315.0
3515,華擎,0.43%,332000,279.5,279.5
4770,上品,0.33%,241000,298.0,298.0
8996,高力,0.27%,176000,330.5,330.5
2886,兆豐金,0.16%,818000,42.5,42.5
3008,大立光,0.02%,2000,2350.0,2350.0
3045,台灣大,0.02%,43000,109.0,109.0
3131,弘塑,0.01%,1000,1560.0,1560.0
6515,穎崴,0.01%,1000,2265.0,2265.0
2344,華邦電,0.00%,1000,34.05,34.05
2439,美律,0.00%,1000,101.5,101.5
3217,優群,0.00%,1000,174.5,174.5
3264,欣銓,0.00%,1000,85.0,85.0
4958,臻鼎-KY,0.00%,1000,166.0,166.0
6139,亞翔,0.00%,1000,359.0,359.0
