股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.38%,2992000,1900.0
2383,台光電,6.49%,1809000,2175.0
2308,台達電,6.35%,2951000,1305.0
2345,智邦,6.06%,2625000,1400.0
3017,奇鋐,5.90%,2352000,1520.0
8299,群聯,5.13%,1614000,1925.0
3653,健策,4.78%,940000,3080.0
6223,旺矽,4.74%,1024000,2805.0
6669,緯穎,4.67%,741000,3820.0
6274,台燿,4.42%,4965000,539.0
3665,貿聯-KY,3.92%,1841848,1290.0
2368,金像電,3.90%,2887000,818.0
2327,國巨*,3.13%,6729000,281.5
3661,世芯-KY,3.07%,559000,3330.0
5274,信驊,2.87%,178000,9755.0
8046,南電,2.86%,3788000,457.5
6805,富世達,2.67%,1094000,1480.0
3037,欣興,2.66%,3974000,405.5
8210,勤誠,2.30%,1563000,890.0
6515,穎崴,1.79%,231000,4695.0
6510,精測,1.50%,236000,3840.0
6139,亞翔,1.48%,1653000,542.0
2449,京元電子,1.17%,2236000,316.5
1303,南亞,0.86%,6261000,83.6
8358,金居,0.82%,1826000,273.5
1815,富喬,0.80%,4575000,106.0
6191,精成科,0.59%,3326000,107.5
6488,環球晶,0.55%,786000,425.0
4979,華星光,0.48%,819000,357.5
1326,台化,0.41%,5790000,43.25
2404,漢唐,0.36%,224000,963.0
3376,新日興,0.34%,1044000,200.0
2317,鴻海,0.33%,863000,228.5
1802,台玻,0.33%,3822000,51.7
3211,順達,0.27%,585000,280.0
1319,東陽,0.26%,1531000,102.5
2002,中鋼,0.17%,4923000,20.45
3217,優群,0.08%,326000,153.5
3008,大立光,0.01%,3000,2370.0
2059,川湖,0.01%,1000,3030.0
2357,華碩,0.00%,2000,509.0
8996,高力,0.00%,1000,879.0
2439,美律,0.00%,2000,99.4
3533,嘉澤,0.00%,1000,1625.0
3045,台灣大,0.00%,2000,107.5
2454,聯發科,0.00%,1000,1795.0
5536,聖暉*,0.00%,1000,659.0
2884,玉山金,0.00%,2010,34.85
2313,華通,0.00%,1000,205.0
3583,辛耘,0.00%,2000,345.5
3711,日月光投控,0.00%,2000,349.0
