股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.28%,5518000,1955.0
2383,台光電,7.92%,2861000,3220.0
2368,金像電,6.22%,6607000,1095.0
2308,台達電,6.20%,4379000,1645.0
3653,健策,5.82%,1595000,4240.0
3017,奇鋐,5.82%,3026000,2235.0
3665,貿聯-KY,5.59%,3052848,2130.0
6223,旺矽,5.44%,1414000,4470.0
2345,智邦,5.30%,3646000,1690.0
3037,欣興,4.54%,8443000,625.0
8046,南電,4.35%,7557000,669.0
5274,信驊,3.44%,318000,12565.0
2327,國巨*,2.68%,11083000,281.5
3711,日月光投控,2.08%,6159000,392.0
6515,穎崴,1.84%,268000,7995.0
6274,台燿,1.83%,2670000,797.0
6805,富世達,1.79%,1130000,1840.0
2449,京元電子,1.78%,7512000,275.0
6510,精測,1.77%,604000,3405.0
1303,南亞,1.45%,19743000,85.2
3211,順達,1.29%,4086000,366.5
3189,景碩,0.88%,2657000,387.0
6139,亞翔,0.81%,1559000,605.0
2454,聯發科,0.69%,508000,1575.0
5347,世界,0.66%,5845000,131.5
8358,金居,0.64%,2750000,272.0
6147,頎邦,0.64%,7692000,96.5
3443,創意,0.61%,267000,2655.0
2404,漢唐,0.60%,764000,907.0
3661,世芯-KY,0.58%,233000,2895.0
6488,環球晶,0.51%,1330000,447.5
3264,欣銓,0.45%,2870000,180.5
8996,高力,0.45%,515000,1010.0
4979,華星光,0.38%,1037000,429.0
1326,台化,0.35%,9001000,45.6
6187,萬潤,0.30%,388000,886.0
6191,精成科,0.28%,3402000,95.3
3583,辛耘,0.28%,526000,612.0
3376,新日興,0.26%,1428000,208.0
6669,緯穎,0.23%,76000,3580.0
3324,雙鴻,0.14%,160000,989.0
2481,強茂,0.14%,1636000,100.5
2002,中鋼,0.09%,4929000,20.2
1319,東陽,0.07%,982000,80.1
3217,優群,0.06%,477000,154.5
8210,勤誠,0.03%,34000,880.0
3008,大立光,0.02%,10000,2280.0
2357,華碩,0.00%,8000,568.0
1815,富喬,0.00%,5000,121.5
2439,美律,0.00%,8000,85.8
3045,台灣大,0.00%,8000,110.0
2313,華通,0.00%,7000,281.5
