股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,10.09%,1470000,1440.0
2345,智邦,6.63%,1325000,1050.0
3017,奇鋐,6.63%,1189000,1170.0
3665,貿聯-KY,6.32%,1199848,1105.0
2383,台光電,5.35%,910000,1235.0
2308,台達電,5.08%,1067000,999.0
2368,金像電,4.18%,2023000,434.0
6223,旺矽,4.16%,511000,1710.0
2317,鴻海,4.11%,3891000,221.5
3653,健策,3.41%,311000,2300.0
2059,川湖,3.39%,190000,3745.0
3661,世芯-KY,3.38%,202000,3515.0
6669,緯穎,3.37%,210000,3370.0
2449,京元電子,3.34%,3979000,176.0
6805,富世達,3.18%,564000,1185.0
6274,台燿,3.14%,1920000,343.5
8210,勤誠,2.47%,831000,625.0
3231,緯創,1.81%,2521000,151.0
1303,南亞,1.72%,8482000,42.6
3533,嘉澤,1.71%,239000,1500.0
5274,信驊,1.65%,61000,5690.0
3376,新日興,1.48%,1236000,252.0
3406,玉晶光,1.47%,727000,425.0
4966,譜瑞-KY,1.43%,385000,781.0
2354,鴻準,1.09%,3284000,69.5
3515,華擎,0.89%,607000,307.5
6191,精成科,0.83%,1511000,115.5
3037,欣興,0.82%,1069000,161.0
1560,中砂,0.80%,510000,329.0
3711,日月光投控,0.74%,862000,179.0
3211,順達,0.66%,410000,338.0
8299,群聯,0.58%,139000,882.0
8996,高力,0.48%,236000,429.0
5536,聖暉*,0.43%,107000,837.0
5347,世界,0.26%,538000,102.0
4770,上品,0.18%,129000,301.0
2884,玉山金,0.10%,645010,33.0
3045,台灣大,0.02%,43000,110.5
2454,聯發科,0.01%,1000,1345.0
3008,大立光,0.01%,1000,2470.0
6515,穎崴,0.01%,1000,2295.0
2344,華邦電,0.00%,1000,43.45
2357,華碩,0.00%,1000,677.0
2439,美律,0.00%,1000,102.5
3217,優群,0.00%,1000,182.5
3264,欣銓,0.00%,1000,80.9
3583,辛耘,0.00%,1000,381.0
4958,臻鼎-KY,0.00%,1000,166.0
6139,亞翔,0.00%,1000,433.5
6472,保瑞,0.00%,1000,651.0
