股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.39%,2992000,1880.0
3017,奇鋐,6.36%,2352000,1620.0
2383,台光電,6.36%,1809000,2105.0
2345,智邦,6.09%,2625000,1390.0
3653,健策,5.26%,940000,3350.0
2308,台達電,5.06%,2560000,1185.0
8299,群聯,4.92%,1614000,1825.0
6223,旺矽,4.59%,988000,2785.0
6669,緯穎,4.56%,741000,3685.0
6274,台燿,4.41%,4965000,532.0
3665,貿聯-KY,4.24%,1841848,1380.0
2368,金像電,4.08%,2887000,846.0
3661,世芯-KY,2.97%,540000,3300.0
6805,富世達,2.89%,1094000,1580.0
2327,國巨*,2.85%,6729000,254.0
5274,信驊,2.77%,178000,9325.0
8046,南電,2.59%,3788000,409.5
8210,勤誠,2.56%,1563000,983.0
3037,欣興,2.46%,3974000,371.5
6515,穎崴,1.89%,231000,4895.0
6510,精測,1.55%,236000,3930.0
6139,亞翔,1.45%,1653000,524.0
8358,金居,0.79%,1826000,258.0
1303,南亞,0.76%,6261000,72.8
1815,富喬,0.67%,4575000,87.9
6488,環球晶,0.64%,786000,491.5
2449,京元電子,0.64%,1260000,302.0
6191,精成科,0.58%,3326000,105.0
1326,台化,0.39%,5790000,40.75
3376,新日興,0.34%,1044000,193.5
5269,祥碩,0.30%,140000,1300.0
3211,順達,0.27%,585000,280.0
1319,東陽,0.27%,1531000,104.5
2404,漢唐,0.25%,165000,908.0
2059,川湖,0.20%,40000,2935.0
4979,華星光,0.18%,329000,333.5
2002,中鋼,0.17%,4923000,20.5
1802,台玻,0.15%,2065000,42.8
3217,優群,0.08%,326000,153.0
3008,大立光,0.01%,3000,2325.0
2357,華碩,0.00%,2000,526.0
8996,高力,0.00%,1000,931.0
2439,美律,0.00%,2000,100.0
3533,嘉澤,0.00%,1000,1625.0
3045,台灣大,0.00%,2000,105.5
2454,聯發科,0.00%,1000,1845.0
5536,聖暉*,0.00%,1000,618.0
2884,玉山金,0.00%,2010,33.8
2313,華通,0.00%,1000,183.0
2317,鴻海,0.00%,1000,221.0
3583,辛耘,0.00%,2000,319.0
3711,日月光投控,0.00%,2000,344.0
