股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.90%,11960000,2255.0
2383,台光電,8.13%,4486000,4940.0
2454,聯發科,7.09%,4649000,4155.0
2327,國巨*,5.86%,19513000,819.0
2345,智邦,5.50%,6334000,2365.0
2308,台達電,5.31%,6572000,2200.0
6669,緯穎,4.63%,2492000,5065.0
6223,旺矽,4.59%,2169000,5770.0
3017,奇鋐,4.50%,5191000,2360.0
2368,金像電,4.33%,8315000,1420.0
3037,欣興,4.04%,12466000,884.0
3665,貿聯-KY,3.72%,4703848,0.0
3711,日月光投控,3.55%,17948000,539.0
8046,南電,3.37%,10828000,847.0
2303,聯電,3.20%,73690000,118.5
3653,健策,3.16%,2267000,3800.0
6274,台燿,2.62%,4763000,1500.0
5274,信驊,2.61%,422000,16840.0
6515,穎崴,1.32%,442000,8125.0
8210,勤誠,1.20%,2267000,1445.0
6805,富世達,1.13%,1761000,1755.0
6510,精測,1.09%,930000,3200.0
2317,鴻海,0.71%,7307000,263.0
3533,嘉澤,0.68%,852000,2175.0
6187,萬潤,0.52%,1334000,1065.0
2404,漢唐,0.51%,1200000,1150.0
6147,頎邦,0.48%,5775000,226.0
8996,高力,0.46%,1034000,1220.0
5439,高技,0.46%,3528000,355.5
4966,譜瑞-KY,0.40%,1642000,662.0
8150,南茂,0.38%,11635000,88.3
2449,京元電子,0.36%,3645000,272.0
6278,台表科,0.26%,3734000,188.0
3443,創意,0.25%,167000,4025.0
1590,亞德客-KY,0.25%,530000,1285.0
8358,金居,0.20%,980000,555.0
6191,精成科,0.14%,3988000,92.4
3376,新日興,0.14%,1741000,211.5
6271,同欣電,0.06%,686000,225.0
2002,中鋼,0.04%,5163000,18.7
2313,華通,0.03%,329000,259.0
1319,東陽,0.02%,511000,107.0
3264,欣銓,0.00%,1000,211.5
3661,世芯-KY,0.00%,1000,4040.0
1815,富喬,0.00%,107000,91.4
2439,美律,0.00%,18000,89.5
3008,大立光,0.00%,1000,4130.0
2382,廣達,0.00%,1000,380.5
5347,世界,0.00%,1000,152.5
2481,強茂,0.00%,5000,135.5
