股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.17%,1834000,1460.0
3017,奇鋐,7.18%,1432000,1465.0
2308,台達電,5.81%,1758000,965.0
2383,台光電,5.71%,1217000,1370.0
2345,智邦,5.68%,1650000,1005.0
3665,貿聯-KY,5.64%,1164848,1415.0
6669,緯穎,5.15%,369000,4075.0
6223,旺矽,4.93%,696000,2070.0
2368,金像電,4.15%,2608000,464.5
2059,川湖,3.53%,253000,4080.0
3661,世芯-KY,3.43%,281000,3565.0
2317,鴻海,3.32%,3970000,244.0
6274,台燿,3.27%,2510000,380.0
2449,京元電子,3.24%,4437000,213.5
8210,勤誠,2.96%,857000,1010.0
6805,富世達,2.87%,599000,1400.0
8299,群聯,2.34%,592000,1155.0
3653,健策,2.21%,296000,2180.0
3231,緯創,1.86%,3944000,137.5
3533,嘉澤,1.12%,244000,1345.0
3406,玉晶光,1.07%,733000,427.5
5274,信驊,1.07%,55000,5685.0
3515,華擎,1.03%,999000,301.5
6191,精成科,0.98%,2293000,125.0
5536,聖暉*,0.95%,367000,755.0
2354,鴻準,0.89%,3745000,69.2
4958,臻鼎-KY,0.87%,1654000,154.5
1560,中砂,0.53%,515000,301.5
3211,順達,0.47%,467000,291.0
8996,高力,0.27%,127000,622.0
1319,東陽,0.20%,573000,100.0
3376,新日興,0.05%,76000,200.0
3008,大立光,0.01%,1000,2205.0
1303,南亞,0.00%,1000,42.55
2327,國巨*,0.00%,1000,234.5
2344,華邦電,0.00%,1000,58.1
2357,華碩,0.00%,1000,664.0
2439,美律,0.00%,1000,110.5
2454,聯發科,0.00%,1000,1260.0
2884,玉山金,0.00%,1010,29.6
3037,欣興,0.00%,1000,161.5
3045,台灣大,0.00%,1000,111.0
3217,優群,0.00%,1000,184.0
3583,辛耘,0.00%,1000,336.5
3711,日月光投控,0.00%,1000,228.5
4770,上品,0.00%,1000,239.5
4966,譜瑞-KY,0.00%,1000,656.0
5347,世界,0.00%,1000,93.0
6139,亞翔,0.00%,1000,474.0
6472,保瑞,0.00%,1000,622.0
