股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.33%,2635000,1470.0
6669,緯穎,6.72%,617000,4520.0
2383,台光電,6.47%,1682000,1595.0
3017,奇鋐,6.29%,1826000,1430.0
2345,智邦,5.95%,2176000,1135.0
2368,金像電,5.61%,3858000,603.0
2308,台達電,5.43%,2383000,945.0
3665,貿聯-KY,5.40%,1460848,1535.0
6223,旺矽,4.85%,869000,2315.0
3653,健策,4.41%,624000,2930.0
2317,鴻海,3.76%,6902000,226.0
6274,台燿,3.48%,3356000,430.0
6805,富世達,3.18%,831000,1590.0
2449,京元電子,3.00%,5619000,221.5
2454,聯發科,2.96%,880000,1395.0
8210,勤誠,2.47%,1132000,904.0
6139,亞翔,1.97%,1549000,528.0
3661,世芯-KY,1.66%,209000,3295.0
2059,川湖,1.64%,178000,3825.0
5274,信驊,1.39%,85000,6800.0
8358,金居,1.08%,1621000,276.0
3231,緯創,1.07%,3090000,144.0
3715,定穎投控,1.01%,3450000,121.5
5536,聖暉*,0.96%,496000,803.0
3711,日月光投控,0.91%,1552000,244.5
6191,精成科,0.86%,2968000,120.5
2404,漢唐,0.83%,385000,897.0
3533,嘉澤,0.79%,246000,1325.0
3515,華擎,0.65%,1002000,268.5
4958,臻鼎-KY,0.61%,1736000,146.0
2354,鴻準,0.58%,3807000,63.6
3081,聯亞,0.48%,351000,565.0
3211,順達,0.34%,490000,290.0
6515,穎崴,0.30%,46000,2665.0
5347,世界,0.16%,715000,91.9
1319,東陽,0.12%,574000,87.9
3044,健鼎,0.07%,93000,305.5
3217,優群,0.07%,172000,164.0
3008,大立光,0.01%,1000,2080.0
1303,南亞,0.00%,1000,59.9
1560,中砂,0.00%,1000,358.5
2327,國巨*,0.00%,1000,236.0
2357,華碩,0.00%,1000,592.0
2439,美律,0.00%,1000,99.6
2884,玉山金,0.00%,1010,32.35
3045,台灣大,0.00%,1000,106.0
3583,辛耘,0.00%,1000,336.5
6510,精測,0.00%,1000,1965.0
8299,群聯,0.00%,1000,1105.0
8996,高力,0.00%,1000,497.0
