股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.18%,2231000,1435.0
3017,奇鋐,6.90%,1726000,1395.0
2368,金像電,6.72%,3738000,627.0
6669,緯穎,6.72%,527000,4450.0
2383,台光電,6.69%,1561000,1495.0
3665,貿聯-KY,6.19%,1400848,1540.0
2345,智邦,5.58%,1888000,1030.0
2308,台達電,5.29%,1959000,942.0
6223,旺矽,4.68%,761000,2145.0
3653,健策,4.17%,536000,2715.0
6274,台燿,4.13%,3336000,432.0
2449,京元電子,3.58%,5619000,222.0
6805,富世達,3.49%,781000,1560.0
2317,鴻海,3.03%,4575000,231.0
8210,勤誠,2.87%,1036000,965.0
3231,緯創,1.65%,3955000,145.5
2059,川湖,1.63%,158000,3605.0
3661,世芯-KY,1.32%,140000,3285.0
6510,精測,1.25%,242000,1800.0
6139,亞翔,1.19%,930000,447.0
1303,南亞,1.11%,6900000,56.2
6191,精成科,1.04%,2828000,128.5
5536,聖暉*,0.96%,495000,679.0
6515,穎崴,0.95%,121000,2750.0
3533,嘉澤,0.92%,245000,1305.0
8358,金居,0.77%,1184000,228.0
3515,華擎,0.72%,1001000,252.0
2354,鴻準,0.71%,3806000,64.9
4958,臻鼎-KY,0.68%,1656000,143.0
3081,聯亞,0.51%,331000,535.0
3715,定穎投控,0.51%,1511000,118.0
1560,中砂,0.47%,517000,318.5
3211,順達,0.36%,469000,268.0
2327,國巨*,0.33%,488000,236.0
3711,日月光投控,0.19%,286000,230.5
5347,世界,0.18%,684000,91.1
1319,東陽,0.16%,573000,99.1
2454,聯發科,0.08%,21000,1340.0
3044,健鼎,0.08%,93000,308.5
3217,優群,0.08%,172000,167.5
5274,信驊,0.02%,1000,6650.0
3008,大立光,0.01%,1000,2205.0
2357,華碩,0.00%,1000,611.0
2439,美律,0.00%,1000,104.0
2884,玉山金,0.00%,1010,30.4
3037,欣興,0.00%,1000,187.0
3045,台灣大,0.00%,1000,108.5
3583,辛耘,0.00%,1000,316.0
8299,群聯,0.00%,1000,1055.0
8996,高力,0.00%,1000,505.0
