股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.34%,1688000,1200.0
3665,貿聯-KY,6.19%,1231848,1090.0
2345,智邦,5.78%,1229000,1020.0
3661,世芯-KY,5.25%,291000,3915.0
2383,台光電,5.23%,926000,1225.0
2449,京元電子,4.70%,5977000,170.5
3653,健策,4.39%,388000,2455.0
2308,台達電,3.96%,1095000,784.0
3017,奇鋐,3.85%,869000,961.0
6669,緯穎,3.77%,272000,3010.0
6223,旺矽,3.67%,527000,1510.0
2368,金像電,3.54%,1650000,465.0
2454,聯發科,3.28%,471000,1510.0
2357,華碩,2.78%,912000,661.0
6274,台燿,2.77%,1911000,315.0
4958,臻鼎-KY,2.61%,3389000,167.0
2884,玉山金,2.34%,14977010,33.9
8210,勤誠,2.24%,822000,592.0
8046,南電,2.15%,2540000,184.0
6805,富世達,1.91%,414000,1000.0
2059,川湖,1.75%,114000,3335.0
3533,嘉澤,1.67%,238000,1525.0
3583,辛耘,1.59%,888000,387.5
3131,弘塑,1.48%,206000,1560.0
4966,譜瑞-KY,1.12%,308000,789.0
6472,保瑞,1.03%,304000,736.0
3529,力旺,0.97%,91000,2320.0
3231,緯創,0.96%,1796000,116.0
3376,新日興,0.86%,800000,232.0
2317,鴻海,0.78%,817000,207.5
2354,鴻準,0.71%,2204000,69.5
4770,上品,0.71%,484000,317.0
3211,順達,0.67%,359000,402.5
3264,欣銓,0.67%,1686000,85.9
3711,日月光投控,0.66%,852000,167.0
3406,玉晶光,0.52%,253000,449.0
3008,大立光,0.35%,32000,2380.0
5347,世界,0.28%,663000,92.5
3515,華擎,0.26%,196000,289.0
1210,大成,0.19%,754000,53.4
2886,兆豐金,0.16%,818000,41.4
2618,長榮航,0.08%,430000,39.65
6757,台灣虎航,0.06%,142000,87.3
3045,台灣大,0.02%,43000,107.5
6515,穎崴,0.01%,1000,1760.0
2439,美律,0.00%,1000,102.0
3217,優群,0.00%,1000,175.5
6139,亞翔,0.00%,1000,371.0
6278,台表科,0.00%,1000,108.5
8996,高力,0.00%,1000,337.0
