股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.46%,9693000,2265.0
2383,台光電,9.02%,4425000,4730.0
2345,智邦,5.65%,6031000,2175.0
2308,台達電,5.24%,6024000,2020.0
2368,金像電,5.04%,8240000,1420.0
8046,南電,4.97%,12637000,913.0
3665,貿聯-KY,4.96%,4377848,2630.0
3653,健策,4.84%,2267000,4960.0
3017,奇鋐,4.77%,3902000,2835.0
2454,聯發科,4.35%,4147000,2435.0
6223,旺矽,3.96%,1886000,4880.0
3037,欣興,3.36%,9287000,839.0
6669,緯穎,3.26%,1549000,4890.0
5274,信驊,2.57%,373000,16000.0
2327,國巨*,2.00%,15196000,305.0
6805,富世達,1.87%,2099000,2070.0
3711,日月光投控,1.74%,8174000,495.5
6515,穎崴,1.61%,391000,9580.0
6510,精測,1.43%,930000,3570.0
2449,京元電子,1.36%,11172000,283.5
3661,世芯-KY,1.32%,738000,4160.0
6274,台燿,1.29%,3019000,990.0
3189,景碩,1.19%,5358000,515.0
2317,鴻海,1.05%,10727000,228.0
2303,聯電,1.03%,32791000,72.7
8358,金居,0.80%,5558000,335.5
8210,勤誠,0.56%,1117000,1165.0
5439,高技,0.50%,3130000,374.5
3443,創意,0.46%,271000,3955.0
2404,漢唐,0.46%,1091000,969.0
6147,頎邦,0.44%,7884000,131.0
3264,欣銓,0.41%,4897000,194.0
8996,高力,0.25%,535000,1070.0
7769,鴻勁,0.21%,98000,4970.0
6191,精成科,0.18%,3986000,107.0
2481,強茂,0.16%,3652000,103.0
3376,新日興,0.15%,1681000,207.5
6415,矽力*-KY,0.12%,660000,420.0
4966,譜瑞-KY,0.10%,371000,615.0
6488,環球晶,0.09%,333000,620.0
2313,華通,0.09%,843000,235.5
3211,順達,0.08%,458000,385.5
3217,優群,0.06%,830000,169.5
1303,南亞,0.05%,1374000,87.8
2002,中鋼,0.04%,5161000,18.75
1319,東陽,0.02%,509000,73.6
2357,華碩,0.00%,16000,588.0
1815,富喬,0.00%,107000,108.0
2439,美律,0.00%,16000,88.7
4979,華星光,0.00%,1000,546.0
5347,世界,0.00%,62000,138.5
