股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.36%,2992000,2015.0
2308,台達電,6.89%,3093000,1435.0
2383,台光電,6.80%,1809000,2420.0
3017,奇鋐,6.12%,2352000,1675.0
2345,智邦,5.91%,2625000,1450.0
8299,群聯,4.82%,1614000,1925.0
6669,緯穎,4.67%,741000,4060.0
3653,健策,4.57%,940000,3130.0
6274,台燿,4.45%,4965000,577.0
6223,旺矽,4.26%,1024000,2680.0
3665,貿聯-KY,3.85%,1841848,1345.0
2368,金像電,3.79%,2887000,845.0
8046,南電,3.42%,3979000,553.0
2327,國巨*,3.13%,6729000,300.0
3037,欣興,3.03%,4258000,458.5
3661,世芯-KY,3.02%,559000,3480.0
5274,信驊,2.68%,178000,9715.0
6805,富世達,2.64%,1094000,1555.0
8210,勤誠,2.21%,1563000,909.0
6515,穎崴,1.79%,231000,5000.0
6510,精測,1.61%,265000,3915.0
6139,亞翔,1.43%,1653000,557.0
2449,京元電子,1.11%,2236000,320.0
1303,南亞,0.92%,6261000,94.9
8358,金居,0.83%,1826000,292.0
1802,台玻,0.57%,5996000,61.3
6191,精成科,0.55%,3326000,107.0
6488,環球晶,0.55%,786000,452.5
4979,華星光,0.51%,819000,405.0
1326,台化,0.44%,5790000,49.2
2404,漢唐,0.36%,224000,1035.0
3376,新日興,0.33%,1044000,201.5
2317,鴻海,0.33%,863000,246.5
1815,富喬,0.28%,1568000,113.0
3211,順達,0.26%,585000,287.0
1319,東陽,0.23%,1497000,99.7
2002,中鋼,0.16%,4923000,21.25
3217,優群,0.08%,326000,157.0
3008,大立光,0.01%,3000,2415.0
2059,川湖,0.01%,1000,3360.0
2357,華碩,0.00%,2000,525.0
8996,高力,0.00%,1000,911.0
2439,美律,0.00%,2000,98.4
3533,嘉澤,0.00%,1000,1795.0
3045,台灣大,0.00%,2000,108.5
2454,聯發科,0.00%,1000,1870.0
5536,聖暉*,0.00%,1000,701.0
2313,華通,0.00%,1000,209.5
3583,辛耘,0.00%,2000,360.0
3711,日月光投控,0.00%,2000,389.0
