股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.87%,11960000,2400.0
2383,台光電,7.90%,4486000,5120.0
2454,聯發科,7.62%,4861000,4560.0
2327,國巨*,7.45%,22792000,950.0
2345,智邦,5.49%,6334000,2520.0
6223,旺矽,5.05%,2279000,6445.0
2308,台達電,5.04%,6572000,2230.0
3017,奇鋐,4.23%,5191000,2370.0
3037,欣興,4.21%,12466000,981.0
6669,緯穎,4.18%,2492000,4880.0
2368,金像電,3.85%,8315000,1345.0
2303,聯電,3.75%,77390000,141.0
3711,日月光投控,3.65%,17948000,592.0
3665,貿聯-KY,3.52%,4833848,2120.0
8046,南電,3.36%,10828000,902.0
3653,健策,2.95%,2267000,3785.0
6274,台燿,2.64%,4763000,1610.0
5274,信驊,2.64%,422000,18155.0
6515,穎崴,1.51%,442000,9945.0
6510,精測,1.12%,930000,3500.0
6805,富世達,1.07%,1811000,1725.0
8210,勤誠,1.05%,2267000,1350.0
2317,鴻海,0.68%,7307000,269.0
3533,嘉澤,0.67%,852000,2295.0
6187,萬潤,0.52%,1334000,1140.0
8996,高力,0.49%,1034000,1380.0
6147,頎邦,0.46%,5875000,227.5
3443,創意,0.44%,258000,4920.0
5439,高技,0.39%,3528000,322.5
8150,南茂,0.38%,11635000,94.6
4966,譜瑞-KY,0.37%,1642000,660.0
2449,京元電子,0.35%,3645000,278.0
6278,台表科,0.31%,4334000,209.5
4958,臻鼎-KY,0.31%,1428000,624.0
1590,亞德客-KY,0.24%,530000,1295.0
8358,金居,0.21%,980000,632.0
6191,精成科,0.14%,3988000,100.5
6488,環球晶,0.13%,350000,1045.0
3376,新日興,0.12%,1741000,200.0
6271,同欣電,0.11%,1466000,224.5
2002,中鋼,0.03%,5163000,18.65
2313,華通,0.03%,329000,249.0
3264,欣銓,0.00%,1000,220.0
3661,世芯-KY,0.00%,1000,4315.0
1815,富喬,0.00%,107000,94.8
2439,美律,0.00%,18000,89.5
3008,大立光,0.00%,1000,4860.0
2382,廣達,0.00%,1000,362.5
5347,世界,0.00%,1000,171.5
2481,強茂,0.00%,5000,140.0
