股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.42%,1688000,1225.0
3665,貿聯-KY,6.46%,1249848,1135.0
2345,智邦,6.10%,1229000,1090.0
2383,台光電,5.30%,926000,1255.0
2449,京元電子,4.70%,5977000,172.5
3661,世芯-KY,4.51%,251000,3940.0
3653,健策,4.43%,388000,2505.0
6669,緯穎,4.25%,282000,3310.0
2308,台達電,4.18%,1095000,837.0
3017,奇鋐,3.88%,869000,979.0
2368,金像電,3.68%,1650000,489.0
6223,旺矽,3.65%,527000,1520.0
2454,聯發科,3.20%,471000,1490.0
6274,台燿,2.84%,1911000,326.0
2357,華碩,2.78%,912000,668.0
4958,臻鼎-KY,2.60%,3389000,168.5
8210,勤誠,2.38%,822000,636.0
6805,富世達,1.97%,414000,1045.0
2059,川湖,1.81%,114000,3485.0
3533,嘉澤,1.69%,238000,1560.0
2884,玉山金,1.56%,10133010,33.8
3583,辛耘,1.54%,888000,380.0
8046,南電,1.54%,1832000,185.0
3131,弘塑,1.36%,206000,1450.0
3231,緯創,1.31%,2391000,120.0
4966,譜瑞-KY,1.11%,308000,791.0
6472,保瑞,1.02%,304000,739.0
3529,力旺,0.96%,91000,2325.0
2317,鴻海,0.94%,987000,210.0
2354,鴻準,0.92%,2806000,71.8
3376,新日興,0.84%,800000,230.5
4770,上品,0.70%,484000,317.5
3264,欣銓,0.67%,1686000,87.3
3711,日月光投控,0.66%,852000,169.0
3211,順達,0.65%,359000,395.5
3406,玉晶光,0.50%,253000,437.5
3515,華擎,0.48%,332000,317.5
5347,世界,0.27%,663000,90.6
2886,兆豐金,0.15%,818000,41.55
1210,大成,0.13%,554000,53.2
2618,長榮航,0.08%,430000,39.6
3008,大立光,0.02%,2000,2360.0
3045,台灣大,0.02%,43000,107.0
6515,穎崴,0.01%,1000,1740.0
2439,美律,0.00%,1000,102.5
3217,優群,0.00%,1000,176.0
6139,亞翔,0.00%,1000,368.0
6278,台表科,0.00%,1000,108.0
6757,台灣虎航,0.00%,1000,87.1
8996,高力,0.00%,1000,341.5
