股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.13%,1794000,1465.0
3017,奇鋐,7.32%,1408000,1495.0
2383,台光電,6.12%,1214000,1450.0
2345,智邦,5.99%,1635000,1055.0
2308,台達電,5.86%,1725000,978.0
6669,緯穎,5.45%,363000,4320.0
3665,貿聯-KY,5.38%,1129848,1370.0
6223,旺矽,4.81%,685000,2020.0
2368,金像電,4.27%,2565000,478.5
2059,川湖,3.77%,252000,4310.0
3661,世芯-KY,3.52%,276000,3670.0
6274,台燿,3.40%,2460000,397.5
2317,鴻海,3.35%,3890000,248.0
2449,京元電子,3.30%,4363000,217.5
6805,富世達,3.01%,594000,1460.0
8210,勤誠,2.84%,822000,995.0
8299,群聯,2.34%,580000,1160.0
3653,健策,2.22%,292000,2190.0
3231,緯創,1.95%,3943000,142.0
3533,嘉澤,1.17%,243000,1385.0
3515,華擎,1.12%,998000,322.0
3406,玉晶光,1.09%,732000,427.0
5274,信驊,1.09%,54000,5810.0
6191,精成科,1.01%,2253000,129.0
5536,聖暉*,0.96%,366000,754.0
4958,臻鼎-KY,0.90%,1649000,157.0
2354,鴻準,0.89%,3665000,70.1
1560,中砂,0.55%,514000,310.0
3211,順達,0.48%,466000,297.0
8996,高力,0.27%,117000,662.0
3376,新日興,0.05%,76000,205.0
3008,大立光,0.01%,1000,2210.0
6515,穎崴,0.01%,1000,2500.0
1303,南亞,0.00%,1000,41.65
2327,國巨*,0.00%,1000,240.0
2344,華邦電,0.00%,1000,59.0
2357,華碩,0.00%,1000,681.0
2439,美律,0.00%,1000,109.0
2454,聯發科,0.00%,1000,1290.0
2884,玉山金,0.00%,1010,29.95
3037,欣興,0.00%,1000,165.5
3045,台灣大,0.00%,1000,110.0
3217,優群,0.00%,1000,189.0
3583,辛耘,0.00%,1000,339.0
3711,日月光投控,0.00%,1000,234.0
4770,上品,0.00%,1000,245.0
4966,譜瑞-KY,0.00%,1000,667.0
5347,世界,0.00%,1000,94.2
6139,亞翔,0.00%,1000,480.0
6472,保瑞,0.00%,1000,641.0
