股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,10.04%,1604000,1320.0
2345,智邦,5.69%,1229000,976.0
3665,貿聯-KY,5.66%,1195848,998.0
2383,台光電,5.43%,913000,1255.0
3017,奇鋐,4.84%,1063000,960.0
2449,京元電子,4.70%,5977000,166.0
2308,台達電,4.49%,1071000,884.0
6669,緯穎,4.28%,292000,3095.0
6223,旺矽,4.24%,527000,1695.0
2317,鴻海,4.23%,3876000,230.0
2368,金像電,4.18%,2013000,438.0
2357,華碩,3.37%,1030000,690.0
3653,健策,3.24%,311000,2200.0
3661,世芯-KY,3.23%,202000,3370.0
6274,台燿,2.74%,1911000,302.5
8210,勤誠,2.31%,822000,593.0
6805,富世達,2.25%,481000,986.0
2059,川湖,1.89%,126000,3170.0
3533,嘉澤,1.76%,238000,1560.0
3583,辛耘,1.71%,888000,405.0
4966,譜瑞-KY,1.39%,385000,764.0
2884,玉山金,1.27%,8090010,33.05
3376,新日興,1.25%,1101000,239.5
3406,玉晶光,1.17%,573000,431.0
1303,南亞,1.16%,6005000,40.9
2354,鴻準,1.11%,3245000,71.9
6472,保瑞,0.98%,304000,678.0
3529,力旺,0.94%,91000,2190.0
6191,精成科,0.86%,1492000,121.5
1560,中砂,0.81%,505000,340.0
3037,欣興,0.79%,1068000,157.0
5347,世界,0.71%,1480000,101.5
3711,日月光投控,0.69%,852000,172.0
2454,聯發科,0.66%,103000,1345.0
2344,華邦電,0.58%,3688000,33.4
3211,順達,0.46%,266000,364.0
3515,華擎,0.43%,332000,270.0
4770,上品,0.35%,241000,305.5
8996,高力,0.27%,176000,325.0
5274,信驊,0.26%,11000,5025.0
2886,兆豐金,0.16%,818000,41.95
3008,大立光,0.02%,2000,2350.0
3045,台灣大,0.02%,43000,106.0
3131,弘塑,0.01%,1000,1620.0
6515,穎崴,0.01%,1000,2020.0
2439,美律,0.00%,1000,102.0
3217,優群,0.00%,1000,173.5
3264,欣銓,0.00%,1000,85.0
4958,臻鼎-KY,0.00%,1000,172.5
6139,亞翔,0.00%,1000,358.5
