股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.66%,3146000,1495.0
2383,台光電,7.07%,2037000,1690.0
3017,奇鋐,6.58%,2136000,1500.0
6669,緯穎,5.95%,683000,4240.0
2368,金像電,5.81%,4237000,668.0
2345,智邦,5.76%,2357000,1190.0
2308,台達電,4.96%,2532000,955.0
3665,貿聯-KY,4.88%,1532848,1550.0
6274,台燿,4.84%,4737000,498.0
6223,旺矽,4.73%,999000,2305.0
3653,健策,3.65%,647000,2750.0
2317,鴻海,3.41%,7423000,224.0
2454,聯發科,3.31%,1168000,1380.0
6805,富世達,2.99%,919000,1585.0
8210,勤誠,2.78%,1403000,964.0
8299,群聯,2.56%,965000,1290.0
3661,世芯-KY,2.17%,333000,3180.0
5274,信驊,1.88%,134000,6850.0
2449,京元電子,1.81%,4024000,219.0
2059,川湖,1.77%,232000,3710.0
2404,漢唐,1.49%,786000,925.0
2313,華通,0.95%,4685000,99.0
8358,金居,0.89%,1668000,260.5
3715,定穎投控,0.87%,3554960,119.5
5536,聖暉*,0.79%,512000,752.0
6191,精成科,0.74%,3088000,116.5
3533,嘉澤,0.68%,252000,1305.0
5347,世界,0.57%,2793000,99.2
1303,南亞,0.54%,4519000,58.1
4958,臻鼎-KY,0.52%,1738000,145.5
3231,緯創,0.46%,1550000,145.5
3515,華擎,0.43%,854000,247.0
2354,鴻準,0.40%,3209000,61.4
3211,順達,0.37%,555000,323.5
1319,東陽,0.31%,1574000,95.9
6515,穎崴,0.26%,48000,2635.0
3711,日月光投控,0.15%,318000,234.5
3217,優群,0.10%,306000,160.5
3044,健鼎,0.09%,143000,322.0
6510,精測,0.01%,2000,2265.0
2357,華碩,0.00%,1000,544.0
8996,高力,0.00%,1000,553.0
2439,美律,0.00%,1000,98.2
3008,大立光,0.00%,1000,2250.0
3045,台灣大,0.00%,1000,108.5
6139,亞翔,0.00%,1000,563.0
3081,聯亞,0.00%,1000,604.0
2327,國巨*,0.00%,1000,222.5
2884,玉山金,0.00%,1010,33.95
3583,辛耘,0.00%,1000,328.0
