股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,8.66%,4271000,1850.0
2383,台光電,7.69%,2427000,2890.0
2308,台達電,6.87%,4309000,1455.0
2368,金像電,6.17%,5600000,1005.0
3017,奇鋐,5.68%,2572000,2015.0
3653,健策,5.54%,1297000,3900.0
6223,旺矽,5.49%,1366000,3665.0
2345,智邦,5.29%,3034000,1590.0
3037,欣興,4.72%,7410000,581.0
3665,貿聯-KY,4.45%,2362848,1720.0
5274,信驊,3.37%,255000,12050.0
2327,國巨*,3.09%,10251000,275.0
8046,南電,2.86%,4656000,561.0
2449,京元電子,2.45%,7062000,316.0
6510,精測,2.30%,590000,3550.0
3661,世芯-KY,2.08%,589000,3220.0
6515,穎崴,1.96%,248000,7210.0
3711,日月光投控,1.62%,4258000,347.0
8210,勤誠,1.58%,1621000,892.0
6805,富世達,1.48%,682000,1975.0
1303,南亞,1.42%,15336000,84.2
3189,景碩,1.12%,2657000,383.5
6139,亞翔,1.10%,1704000,587.0
6274,台燿,0.94%,1463000,584.0
2454,聯發科,0.89%,486000,1680.0
6488,環球晶,0.88%,1700000,472.0
2404,漢唐,0.57%,573000,915.0
8358,金居,0.55%,1864000,269.0
3211,順達,0.52%,1576000,303.5
5347,世界,0.50%,3848000,117.5
1326,台化,0.45%,8827000,46.6
4979,華星光,0.44%,1036000,391.5
1802,台玻,0.40%,5996000,61.1
2408,南亞科,0.37%,1305000,260.0
6191,精成科,0.36%,3399000,97.6
3376,新日興,0.36%,1425000,230.5
8996,高力,0.33%,315000,951.0
3264,欣銓,0.30%,1789000,154.0
6669,緯穎,0.30%,73000,3765.0
3533,嘉澤,0.22%,100000,2030.0
3324,雙鴻,0.19%,158000,1070.0
1319,東陽,0.13%,1501000,82.0
2002,中鋼,0.10%,4926000,18.8
3217,優群,0.06%,355000,158.5
3008,大立光,0.02%,7000,2320.0
2059,川湖,0.02%,4000,3575.0
2357,華碩,0.00%,5000,578.0
1815,富喬,0.00%,2000,111.5
2439,美律,0.00%,5000,83.8
8299,群聯,0.00%,1000,1960.0
3045,台灣大,0.00%,5000,109.5
5536,聖暉*,0.00%,4000,680.0
2313,華通,0.00%,4000,223.5
3583,辛耘,0.00%,5000,416.5
