股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,9.10%,1342000,1475.0
3665,貿聯-KY,7.97%,1199848,1445.0
3017,奇鋐,7.52%,1259000,1300.0
2345,智邦,5.88%,1325000,965.0
2308,台達電,5.84%,1181000,1075.0
6223,旺矽,5.53%,598000,2010.0
2317,鴻海,5.26%,4573000,250.0
2383,台光電,5.25%,910000,1255.0
6669,緯穎,4.21%,224000,4085.0
2368,金像電,3.93%,2023000,422.5
6805,富世達,3.70%,564000,1425.0
2449,京元電子,3.45%,3979000,188.5
8210,勤誠,3.45%,831000,904.0
2059,川湖,3.37%,190000,3860.0
6274,台燿,3.03%,1920000,343.5
3653,健策,2.89%,290000,2165.0
3661,世芯-KY,2.35%,167000,3065.0
3231,緯創,2.21%,3248000,148.0
3533,嘉澤,1.52%,239000,1385.0
3515,華擎,1.45%,960000,327.5
3406,玉晶光,1.42%,727000,423.5
4958,臻鼎-KY,1.21%,1582000,166.5
2354,鴻準,1.07%,3284000,70.8
5274,信驊,0.85%,35000,5300.0
3376,新日興,0.76%,790000,210.0
6191,精成科,0.75%,1511000,108.5
8299,群聯,0.75%,159000,1025.0
1560,中砂,0.73%,510000,313.0
5536,聖暉*,0.72%,215000,727.0
2327,國巨*,0.71%,627000,246.0
3211,順達,0.62%,410000,327.0
8996,高力,0.27%,105000,549.0
2454,聯發科,0.01%,1000,1315.0
3008,大立光,0.01%,1000,2220.0
6515,穎崴,0.01%,1000,2395.0
1303,南亞,0.00%,1000,42.2
2344,華邦電,0.00%,1000,54.0
2357,華碩,0.00%,1000,709.0
2439,美律,0.00%,1000,101.0
2884,玉山金,0.00%,1010,30.0
3037,欣興,0.00%,1000,162.5
3045,台灣大,0.00%,1000,111.5
3217,優群,0.00%,1000,179.0
3583,辛耘,0.00%,1000,351.5
3711,日月光投控,0.00%,1000,203.0
4770,上品,0.00%,1000,246.0
4966,譜瑞-KY,0.00%,1000,761.0
5347,世界,0.00%,1000,99.6
6139,亞翔,0.00%,1000,438.5
6472,保瑞,0.00%,1000,638.0
