股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,10.39%,11840000,2350.0
2383,台光電,8.37%,4653000,4815.0
2454,聯發科,7.05%,5131000,3680.0
2327,國巨*,5.86%,25098000,625.0
3037,欣興,5.37%,16971000,848.0
2345,智邦,5.30%,6334000,2240.0
6223,旺矽,5.22%,2443000,5720.0
6669,緯穎,5.19%,2417000,5745.0
3017,奇鋐,4.86%,5423000,2400.0
2303,聯電,4.07%,86550000,126.0
3665,貿聯-KY,3.88%,4833848,2150.0
8046,南電,3.82%,9519000,1075.0
3711,日月光投控,3.71%,16327000,608.0
2308,台達電,3.65%,5567000,1755.0
3653,健策,2.98%,2267000,3525.0
2368,金像電,2.50%,7478000,895.0
5274,信驊,2.46%,448900,14695.0
6274,台燿,2.42%,5160000,1255.0
6805,富世達,1.05%,1931000,1455.0
8210,勤誠,0.95%,2267000,1120.0
2449,京元電子,0.73%,7089000,276.0
6187,萬潤,0.52%,1334000,1035.0
6510,精測,0.35%,349000,2660.0
4979,華星光,0.31%,1874000,448.5
4958,臻鼎-KY,0.30%,1682000,470.5
1590,亞德客-KY,0.28%,528000,1440.0
6147,頎邦,0.27%,4706000,155.0
6278,台表科,0.25%,4334000,157.0
6515,穎崴,0.22%,93000,6395.0
6271,同欣電,0.20%,2966000,183.5
5439,高技,0.20%,2280000,234.0
2408,南亞科,0.15%,940000,436.0
6191,精成科,0.13%,3988000,88.4
3264,欣銓,0.12%,1508000,206.0
3376,新日興,0.12%,1741000,184.5
2002,中鋼,0.04%,5163000,19.25
4966,譜瑞-KY,0.03%,140000,615.0
8996,高力,0.00%,1000,995.0
8358,金居,0.00%,1000,371.0
3661,世芯-KY,0.00%,1000,3460.0
3443,創意,0.00%,1000,4050.0
2439,美律,0.00%,1000,83.9
3008,大立光,0.00%,1000,4090.0
2382,廣達,0.00%,1000,322.0
3533,嘉澤,0.00%,1000,1955.0
6488,環球晶,0.00%,1000,1065.0
2313,華通,0.00%,1000,199.5
8150,南茂,0.00%,1000,89.9
2317,鴻海,0.00%,1000,253.0
5347,世界,0.00%,1000,157.0
2481,強茂,0.00%,5000,137.0
