股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,10.13%,11960000,2490.0
2383,台光電,8.70%,4486000,5700.0
2327,國巨*,8.29%,23892000,1020.0
2454,聯發科,7.68%,4977000,4535.0
2345,智邦,5.25%,6334000,2435.0
6223,旺矽,5.18%,2279000,6680.0
2303,聯電,4.48%,77390000,170.0
3037,欣興,4.41%,13307000,974.0
2308,台達電,4.40%,6222000,2080.0
3017,奇鋐,4.28%,5191000,2425.0
3711,日月光投控,4.04%,17948000,662.0
6669,緯穎,3.85%,2417000,4675.0
2368,金像電,3.58%,8315000,1265.0
3665,貿聯-KY,3.29%,4833848,2000.0
6274,台燿,2.99%,5058000,1735.0
3653,健策,2.96%,2267000,3840.0
8046,南電,2.76%,8917000,909.0
5274,信驊,2.66%,422000,18505.0
6510,精測,1.16%,930000,3665.0
6515,穎崴,1.12%,348000,9450.0
6805,富世達,1.09%,1811000,1765.0
8210,勤誠,1.01%,2267000,1310.0
2449,京元電子,0.73%,6484000,329.5
3533,嘉澤,0.65%,852000,2235.0
2317,鴻海,0.65%,7307000,259.5
6147,頎邦,0.55%,6275000,258.0
6187,萬潤,0.53%,1334000,1170.0
5439,高技,0.39%,3528000,321.5
4966,譜瑞-KY,0.37%,1642000,661.0
6278,台表科,0.30%,4334000,204.0
6271,同欣電,0.25%,2966000,244.5
1590,亞德客-KY,0.25%,530000,1375.0
8358,金居,0.22%,980000,657.0
8996,高力,0.17%,354000,1450.0
6191,精成科,0.13%,3988000,99.1
3264,欣銓,0.12%,1508000,233.5
3376,新日興,0.12%,1741000,202.5
6488,環球晶,0.12%,350000,1010.0
8150,南茂,0.05%,1444000,106.5
2002,中鋼,0.03%,5163000,19.2
3661,世芯-KY,0.00%,1000,4375.0
1815,富喬,0.00%,107000,100.5
3443,創意,0.00%,1000,4725.0
2439,美律,0.00%,18000,91.1
3008,大立光,0.00%,1000,5000.0
4958,臻鼎-KY,0.00%,1000,587.0
2382,廣達,0.00%,1000,372.5
2313,華通,0.00%,1000,243.0
5347,世界,0.00%,1000,186.5
2481,強茂,0.00%,5000,193.5
