股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,8.97%,1834000,1465.0
3017,奇鋐,7.36%,1432000,1540.0
6669,緯穎,6.64%,421000,4720.0
3665,貿聯-KY,6.62%,1278848,1550.0
2308,台達電,6.24%,1922000,972.0
2345,智邦,5.39%,1650000,979.0
2383,台光電,5.36%,1217000,1320.0
2368,金像電,5.24%,3150000,498.5
3661,世芯-KY,3.63%,299000,3635.0
8210,勤誠,3.62%,1012000,1070.0
2449,京元電子,3.55%,4997000,213.0
6223,旺矽,3.42%,571000,1795.0
2059,川湖,3.40%,253000,4025.0
2317,鴻海,3.27%,3970000,246.5
6274,台燿,3.16%,2510000,377.5
6805,富世達,3.12%,599000,1560.0
3653,健策,2.63%,356000,2210.0
8299,群聯,2.59%,592000,1310.0
3231,緯創,1.90%,3944000,144.5
3533,嘉澤,1.06%,244000,1295.0
5274,信驊,1.03%,55000,5625.0
3406,玉晶光,1.01%,733000,414.5
3515,華擎,0.97%,999000,290.5
2354,鴻準,0.88%,3745000,70.7
6191,精成科,0.88%,2293000,115.5
4958,臻鼎-KY,0.86%,1654000,155.0
5536,聖暉*,0.79%,367000,641.0
1560,中砂,0.54%,515000,311.5
3211,順達,0.44%,467000,280.0
6139,亞翔,0.27%,197000,407.0
8996,高力,0.25%,127000,579.0
1319,東陽,0.19%,573000,98.4
3376,新日興,0.05%,76000,196.5
3008,大立光,0.01%,1000,2215.0
1303,南亞,0.00%,1000,45.3
2327,國巨*,0.00%,1000,230.5
2344,華邦電,0.00%,1000,64.5
2357,華碩,0.00%,1000,661.0
2439,美律,0.00%,1000,113.0
2454,聯發科,0.00%,1000,1240.0
2884,玉山金,0.00%,1010,30.15
3037,欣興,0.00%,1000,166.5
3045,台灣大,0.00%,1000,110.0
3217,優群,0.00%,1000,180.0
3583,辛耘,0.00%,1000,326.0
3711,日月光投控,0.00%,1000,228.0
4770,上品,0.00%,1000,226.0
4966,譜瑞-KY,0.00%,1000,645.0
5347,世界,0.00%,1000,92.2
6472,保瑞,0.00%,1000,609.0
