股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,8.64%,2351000,1430.0
6669,緯穎,6.75%,586000,4480.0
3017,奇鋐,6.17%,1826000,1315.0
2308,台達電,6.06%,2383000,989.0
2383,台光電,6.04%,1633000,1440.0
2368,金像電,5.95%,3858000,600.0
3665,貿聯-KY,5.76%,1460848,1535.0
2345,智邦,5.36%,1988000,1050.0
6223,旺矽,4.39%,791000,2160.0
3653,健策,4.00%,556000,2800.0
6274,台燿,3.55%,3356000,412.0
6805,富世達,3.31%,831000,1550.0
2449,京元電子,3.27%,5619000,226.5
2317,鴻海,2.73%,4787000,222.0
2454,聯發科,2.73%,752000,1415.0
8210,勤誠,2.46%,1066000,899.0
3661,世芯-KY,1.84%,209000,3420.0
2059,川湖,1.54%,178000,3365.0
3231,緯創,1.45%,3955000,143.0
1303,南亞,1.44%,8679000,64.4
6510,精測,1.15%,242000,1845.0
6139,亞翔,1.07%,950000,439.5
6191,精成科,0.95%,2968000,124.0
5536,聖暉*,0.84%,496000,660.0
3533,嘉澤,0.81%,246000,1275.0
3711,日月光投控,0.72%,1233000,228.5
8358,金居,0.69%,1184000,227.0
4958,臻鼎-KY,0.65%,1736000,146.0
2354,鴻準,0.64%,3807000,65.3
3515,華擎,0.64%,1002000,247.5
6515,穎崴,0.55%,84000,2560.0
3081,聯亞,0.48%,351000,532.0
3715,定穎投控,0.47%,1581000,114.5
1560,中砂,0.43%,518000,322.0
3211,順達,0.33%,490000,261.5
5347,世界,0.17%,715000,92.5
1319,東陽,0.15%,574000,98.4
3044,健鼎,0.07%,93000,299.5
3217,優群,0.07%,172000,166.0
5274,信驊,0.02%,1000,6600.0
3008,大立光,0.01%,1000,2175.0
2327,國巨*,0.00%,1000,227.5
2357,華碩,0.00%,1000,607.0
2439,美律,0.00%,1000,100.0
2884,玉山金,0.00%,1010,30.85
3037,欣興,0.00%,1000,196.0
3045,台灣大,0.00%,1000,106.5
3583,辛耘,0.00%,1000,308.5
8299,群聯,0.00%,1000,1070.0
8996,高力,0.00%,1000,532.0
