股票代號,股票名稱,持股權重,股數,收盤價
2330,台積電,8.79%,1442000,1500.0
3017,奇鋐,7.70%,1329000,1425.0
3665,貿聯-KY,6.60%,1163848,1395.0
2345,智邦,6.58%,1498000,1080.0
6223,旺矽,5.54%,649000,2100.0
2383,台光電,5.31%,960000,1360.0
2308,台達電,5.06%,1252000,995.0
2317,鴻海,4.65%,4439000,257.5
6669,緯穎,4.51%,254000,4365.0
2368,金像電,4.36%,2304000,465.5
2059,川湖,3.96%,237000,4110.0
2449,京元電子,3.56%,4033000,217.0
3661,世芯-KY,3.40%,239000,3495.0
6805,富世達,3.34%,564000,1455.0
6274,台燿,3.13%,1999000,385.5
8210,勤誠,2.89%,766000,927.0
3231,緯創,2.41%,3932000,150.5
3653,健策,2.39%,276000,2130.0
3533,嘉澤,1.35%,241000,1380.0
8299,群聯,1.33%,308000,1065.0
3515,華擎,1.29%,992000,321.0
3406,玉晶光,1.24%,730000,419.5
5536,聖暉*,1.14%,365000,770.0
4958,臻鼎-KY,1.07%,1613000,163.0
6191,精成科,1.00%,2113000,117.0
2354,鴻準,0.96%,3315000,71.5
2327,國巨*,0.67%,658000,249.0
1560,中砂,0.65%,512000,314.5
5274,信驊,0.60%,27000,5470.0
3211,順達,0.51%,405000,307.0
8996,高力,0.27%,105000,624.0
3376,新日興,0.06%,75000,211.5
2454,聯發科,0.01%,1000,1310.0
3008,大立光,0.01%,1000,2215.0
6515,穎崴,0.01%,1000,2630.0
1303,南亞,0.00%,1000,41.5
2344,華邦電,0.00%,1000,54.2
2357,華碩,0.00%,1000,697.0
2439,美律,0.00%,1000,102.5
2884,玉山金,0.00%,1010,29.75
3037,欣興,0.00%,1000,163.5
3045,台灣大,0.00%,1000,109.5
3217,優群,0.00%,1000,183.5
3583,辛耘,0.00%,1000,357.0
3711,日月光投控,0.00%,1000,247.5
4770,上品,0.00%,1000,248.0
4966,譜瑞-KY,0.00%,1000,680.0
5347,世界,0.00%,1000,96.7
6139,亞翔,0.00%,1000,478.5
6472,保瑞,0.00%,1000,621.0
